Id,Area Name,Population,Income Level (Lakhs),Dominant Age Group (Years),,Area
111,Uttam Nagar,"43,000",7.0,25-34,,
112,Wadala Gaon,"39,000",6.7,35-44,,
113,Sanjeev Nagar,"46,000",7.3,25-34,,
114,Vijay Nagar,"51,000",7.5,35-44,,
115,Deepali Nagar,"47,000",7.2,25-34,,
116,Meri,"42,000",6.9,35-44,,
117,Makmalabad,"38,000",6.5,25-34,,
118,Purnvad Nagar,"36,000",6.3,35-44,,
119,Radhalaxmi Bungalow,"34,000",6.0,25-34,,
120,Dhruv Nagar,"33,000",5.9,35-44,,
121,Jalalpur,"31,000",5.8,25-34,,
122,D. K. Nagar,"29,000",5.7,35-44,,
